label,train_rmse,train_mae,train_r2,train_pcc,test_rmse,test_mae,test_r2,test_pcc
khopgnn_gcn_1_noedge,1.147 ± 0.116,0.576 ± 0.072,0.964 ± 0.007,0.982 ± 0.004,1.684 ± 0.292,0.858 ± 0.095,0.921 ± 0.026,0.961 ± 0.013
khopgnn_gcn_2_noedge,0.954 ± 0.135,0.427 ± 0.073,0.975 ± 0.007,0.988 ± 0.003,1.714 ± 0.342,0.817 ± 0.142,0.918 ± 0.029,0.959 ± 0.015
khopgnn_gcn_3_noedge,0.869 ± 0.117,0.384 ± 0.058,0.979 ± 0.006,0.990 ± 0.003,1.648 ± 0.392,0.773 ± 0.150,0.923 ± 0.033,0.962 ± 0.017
khopgnn_gin_1_noedge,0.924 ± 0.126,0.444 ± 0.083,0.977 ± 0.007,0.988 ± 0.003,1.699 ± 0.300,0.852 ± 0.117,0.920 ± 0.026,0.960 ± 0.012
khopgnn_gin_2_noedge,0.860 ± 0.086,0.386 ± 0.047,0.980 ± 0.004,0.990 ± 0.002,1.698 ± 0.288,0.817 ± 0.127,0.920 ± 0.025,0.960 ± 0.012
khopgnn_gin_3_noedge,0.845 ± 0.116,0.382 ± 0.050,0.980 ± 0.005,0.990 ± 0.002,1.722 ± 0.290,0.817 ± 0.115,0.918 ± 0.024,0.960 ± 0.012
khopgnn_graphsage_1_noedge,1.032 ± 0.132,0.522 ± 0.076,0.971 ± 0.007,0.985 ± 0.004,1.677 ± 0.283,0.877 ± 0.101,0.922 ± 0.026,0.961 ± 0.012
khopgnn_graphsage_2_noedge,0.802 ± 0.125,0.383 ± 0.062,0.982 ± 0.006,0.991 ± 0.003,1.748 ± 0.407,0.859 ± 0.133,0.914 ± 0.039,0.957 ± 0.019
khopgnn_graphsage_3_noedge,0.782 ± 0.134,0.380 ± 0.064,0.983 ± 0.006,0.992 ± 0.003,1.685 ± 0.384,0.830 ± 0.122,0.920 ± 0.036,0.960 ± 0.017
khopgnn_mpnn_1_noedge,0.994 ± 0.161,0.482 ± 0.093,0.973 ± 0.009,0.987 ± 0.004,1.671 ± 0.350,0.827 ± 0.148,0.922 ± 0.031,0.962 ± 0.014
khopgnn_mpnn_2_noedge,0.972 ± 0.096,0.455 ± 0.053,0.974 ± 0.005,0.987 ± 0.002,1.693 ± 0.315,0.813 ± 0.106,0.920 ± 0.027,0.960 ± 0.014
khopgnn_mpnn_3_noedge,0.946 ± 0.254,0.440 ± 0.118,0.974 ± 0.015,0.987 ± 0.007,1.792 ± 0.380,0.854 ± 0.134,0.911 ± 0.030,0.956 ± 0.015
