label,train_rmse,train_mae,train_r2,train_pcc,test_rmse,test_mae,test_r2,test_pcc
khopgnn_gcn_1_nof,1.144 ± 0.132,0.625 ± 0.076,0.964 ± 0.009,0.983 ± 0.004,1.796 ± 0.354,0.907 ± 0.137,0.908 ± 0.036,0.954 ± 0.018
khopgnn_gcn_2_nof,0.834 ± 0.123,0.441 ± 0.078,0.981 ± 0.006,0.991 ± 0.003,1.526 ± 0.442,0.721 ± 0.133,0.933 ± 0.038,0.967 ± 0.019
khopgnn_gcn_3_nof,0.835 ± 0.094,0.439 ± 0.045,0.981 ± 0.005,0.991 ± 0.002,1.500 ± 0.440,0.723 ± 0.151,0.934 ± 0.037,0.968 ± 0.018
khopgnn_gin_1_nof,0.858 ± 0.202,0.458 ± 0.098,0.979 ± 0.010,0.990 ± 0.005,1.686 ± 0.332,0.792 ± 0.112,0.919 ± 0.031,0.960 ± 0.015
khopgnn_gin_2_nof,0.694 ± 0.086,0.366 ± 0.043,0.987 ± 0.003,0.994 ± 0.002,1.509 ± 0.354,0.697 ± 0.113,0.935 ± 0.033,0.968 ± 0.015
khopgnn_gin_3_nof,0.793 ± 0.144,0.438 ± 0.088,0.982 ± 0.007,0.992 ± 0.003,1.531 ± 0.458,0.750 ± 0.209,0.932 ± 0.038,0.966 ± 0.019
khopgnn_graphsage_1_nof,0.972 ± 0.206,0.509 ± 0.066,0.973 ± 0.011,0.987 ± 0.006,1.786 ± 0.426,0.858 ± 0.131,0.907 ± 0.049,0.954 ± 0.024
khopgnn_graphsage_2_nof,0.738 ± 0.108,0.363 ± 0.037,0.985 ± 0.004,0.993 ± 0.002,1.648 ± 0.390,0.705 ± 0.102,0.923 ± 0.033,0.961 ± 0.017
khopgnn_graphsage_3_nof,0.778 ± 0.217,0.393 ± 0.068,0.982 ± 0.012,0.991 ± 0.006,1.567 ± 0.451,0.698 ± 0.115,0.928 ± 0.039,0.965 ± 0.019
khopgnn_mpnn_1_nof,0.977 ± 0.161,0.544 ± 0.090,0.974 ± 0.008,0.987 ± 0.004,1.622 ± 0.341,0.819 ± 0.127,0.925 ± 0.034,0.963 ± 0.016
khopgnn_mpnn_2_nof,0.660 ± 0.060,0.346 ± 0.032,0.988 ± 0.002,0.994 ± 0.001,1.487 ± 0.388,0.679 ± 0.130,0.936 ± 0.033,0.968 ± 0.016
khopgnn_mpnn_3_nof,0.739 ± 0.096,0.402 ± 0.062,0.985 ± 0.004,0.993 ± 0.002,1.498 ± 0.394,0.706 ± 0.138,0.936 ± 0.033,0.968 ± 0.017
