SMILES,Metal,LogK1
O=C(O)CN1CCNCCN(CC(=O)O)Cc2cccc(n2)C1,Gd+++,16.6
CCOc1ccc(C[C@@H](CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,Gd+++,23.45
CCOP(=O)(O)CN1CCN(CC(=O)O)CCN(CP(=O)(O)OCC)CCN(CC(=O)O)CC1,Gd+++,16.8
Cn1ccc(C(=O)NCCN(CCNC(=O)c2ccccc2O)CCNC(=O)c2ccn(C)c(=O)c2O)c(O)c1=O,Gd+++,17.3
O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CCO)CC1,Gd+++,21.1
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Ce+++,11.54
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Eu+++,13.23
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Tb+++,14.07
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Dy+++,14.41
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Er+++,14.91
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Gd+++,13.39
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Ho+++,14.7
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Lu+++,15.77
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Nd+++,12.09
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Pr+++,11.93
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Sm+++,12.87
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Tm+++,15.2
CC(CCN(CCN(CCC(C)C(=O)O)CC(=O)O)CC(=O)O)C(=O)O,Yb+++,15.38
O=C(O)c1ccccn1,Ce+++,3.63
O=C(O)c1ccccn1,Eu+++,3.8
O=C(O)c1ccccn1,Tb+++,3.79
O=C(O)c1ccccn1,Dy+++,5.11
O=C(O)c1ccccn1,Er+++,3.96
O=C(O)c1ccccn1,Gd+++,5.01
O=C(O)c1ccccn1,Lu+++,5.36
O=C(O)c1ccccn1,Nd+++,4.83
O=C(O)c1ccccn1,Pr+++,3.62
O=C(O)c1ccccn1,Sm+++,3.85
O=C(O)c1ccccn1,Tm+++,4.31
O=C(O)c1ccccn1,Yb+++,4.28
O=C(O)c1ccccn1,Ho+++,4.19
CC(CNCCNCC(C)P(=O)(O)O)P(=O)(O)O,Dy+++,12.89
CC(CNCCNCC(C)P(=O)(O)O)P(=O)(O)O,Er+++,13.39
CC(CNCCNCC(C)P(=O)(O)O)P(=O)(O)O,Gd+++,12.27
CC(CNCCNCC(C)P(=O)(O)O)P(=O)(O)O,Lu+++,13.37
CC(CNCCNCC(C)P(=O)(O)O)P(=O)(O)O,Nd+++,11.6
CC(CNCCNCC(C)P(=O)(O)O)P(=O)(O)O,Sm+++,12.56
CCC(NC(C(=O)O)C(=O)O)C(=O)O,Ce+++,7.93
CCC(NC(C(=O)O)C(=O)O)C(=O)O,Eu+++,8.71
